Bar Doña Inés | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/529774160
Cava del Buho | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/529775572
Shanghai | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=chinese | osm=node/529776371
Otto Sandwich | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich | osm=node/1183468453
Doggis | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich | osm=node/1314278176
Al Capone | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1314280645
Lucky 7 | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/1314280646
Sky Bar | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/1314280647
Pub Restobar Strike | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/1314281558
Villa del Río | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1314295150
Alondra | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1314295159
Quo Vadis | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1314295160
Club De La Unión | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1314310293
La Cabaña | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1314310309
Zona Zero | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich | osm=node/1361030117
Zona Cero | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich | osm=node/1361030120
Toscana | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/1362338230
La Calabaza | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=pizza | osm=node/1363705007
El Turkito | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/1371710347
DCosta | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=peruvian | osm=node/1371719353
Naturalia Kororü & Salad | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1373251168
Casino UACH | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1374009407
Universidad Austral | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/1375095885
Universidad Austral | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/1375315840
Restaurant | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1378233566
Los Vecinos | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich | osm=node/1383868247
Onde la Meme | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1388022915
Das Haus' 1959 | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=german | osm=node/1401843249
Cafetería Veterinaria | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/1430659261
Sésamo | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=node/1437138503
Bar | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/1613830857
Di Baron | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/1617305613
Madero Restobar | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/1689112719
Phoenix | sector=Centro | categoria_id=2 | amenity=bar | cuisine=(sin tag) | osm=node/1761748528
Universidad Austral | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/1909961660
Maranatha | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/2461166027
Cafe | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=american | osm=node/2679719997
Antojo Valdiviano | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=node/2824784111
Garage | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger | osm=node/2857519545
